Date,sma_20,sma_50,price_vs_sma20,ret_5d,ret_20d,vol_chg,bb_width,rsi,range_pct,vol_5d,vol_10d
2022-03-15,130.7961654663086,134.09829299926758,-1.9626259535929054,1.647060872670103,-4.669227462888925,-20.333917345150986,10.267518623442133,52.304934606781195,3.199747966250631,3.318147382058427,2.6686436222912056
2022-03-16,130.63101348876953,133.86582962036132,1.2631172675740232,-0.10454881247276004,-2.436155963139619,15.058214747736098,9.756784253498846,50.86935899511314,3.450238709620543,2.7397054352332453,2.887441257569209
2022-03-17,130.4375244140625,133.6562028503418,1.838276788175917,1.064336642435837,-2.830751193255221,-20.55318192039577,8.90229383789211,49.0510430274081,1.416259646689824,2.709134005608905,2.886484816256229
2022-03-18,130.6155044555664,133.62345993041993,3.436935650261573,4.816329159133259,2.705993245746585,57.67761109538636,9.427013792342315,51.55377386921642,2.927815910130574,2.4563269198549085,2.8762935784568247
2022-03-21,130.8982925415039,133.59078689575196,3.1952775704939893,8.059072371179932,4.369911210830746,-39.79266705560293,9.838808665624747,53.0528016358789,2.173013699797348,1.360905056599351,2.408577392278072
2022-03-22,131.39724655151366,133.64737899780275,5.648414026119411,8.258639367967913,7.745326078975223,32.289803220035786,11.053251960754132,57.22213860062732,3.537979895900129,1.3981280780283827,2.4873583210793675
2022-03-23,131.92761421203613,133.63955825805664,4.025648252557015,3.747717486218405,8.376571480385508,-29.13567725940951,11.135104464304693,55.82086139791473,1.2681164018233015,1.521015603532039,2.125038524883011
2022-03-24,132.36833381652832,133.6760026550293,6.151026765768199,5.77784424919614,6.692986279644608,4.937584479605639,12.517075907349609,62.42595094677639,2.7325315639697605,1.6621607371126381,2.1713056293627027
2022-03-25,132.7263027191162,133.68081619262696,5.940241161630069,4.075277099507346,5.364791580745032,-8.599787846643437,13.65730709486878,72.85113782275829,1.6216925900100805,1.6834849517307346,1.98694650853311
2022-03-28,133.04382972717286,133.73775619506836,5.525183062565329,3.9338576127240454,4.737646192747613,45.27895216778579,14.554157421801259,71.77241147995468,1.5489036752132683,1.7012519232690158,1.509949871415085
2022-03-29,133.4628635406494,133.79780197143555,5.974669553079965,1.8857069557201012,6.29860109578384,-2.0884450784593445,15.560779799676085,66.40490191941691,1.2315349000560962,1.3070236234928647,1.4303030270641708
2022-03-30,133.82845191955568,133.9157209777832,5.2646860296379865,2.6490688416118013,5.4744234098365485,-42.0595605804534,16.290514504922903,67.43630555292441,0.7894254211046688,1.120368022143148,1.2646556190226013
2022-03-31,134.08491554260254,133.99414840698242,2.938233123234232,-1.7690530234829027,3.859632161963278,88.71454435727217,16.479990803663224,66.67345813658045,2.2172657058515384,1.0258330681887255,1.52139284036809
2022-04-01,134.4940258026123,134.1299821472168,3.4243097358186687,-1.074632877897408,6.24990311542335,-30.865579362541308,16.595707514994913,78.69360890284287,1.54369621540914,1.1411376369451371,1.4593111054796315
2022-04-04,135.31745491027831,134.380489654541,4.864053480919079,1.0717092113714743,13.12961726627666,0.0,15.914856792545221,78.32037584615648,2.379148710001725,1.517452233076727,1.5485283865102633
2022-04-05,135.98672370910646,134.5747621154785,2.610540823802633,-1.3434379047003397,10.61057007393087,-17.43890216637114,14.716080055234231,66.16270248075463,1.855016599064956,1.6841172041290513,1.4606674099692973
2022-04-06,136.1419506072998,134.76558044433594,-0.45388895234640236,-3.797775749878818,2.3444722624153203,51.59211877859744,14.497109064986386,55.18969118560084,2.814765315164809,2.0582773687249363,1.7024854723553522
2022-04-07,136.3136043548584,134.8976922607422,-1.0594159279506667,-2.2859444217138924,2.6119666359253557,-19.200443513613408,14.14458005865077,49.515839042709445,2.1613393566669106,1.932412676232651,1.4593931163263918
2022-04-08,136.4831729888916,134.98269989013673,-3.073792197112493,-4.89689257139021,2.631080193390445,-4.162537165510405,13.482176289178021,44.79850771293481,2.029071118575223,1.8801296572630077,1.5219689852420044
2022-04-11,136.62572059631347,134.89282913208007,-6.417734373044887,-9.895691356873693,2.2806432600455118,46.70272850210804,12.464026003902326,30.09814576614619,2.657896990456821,1.117094457467858,1.7384149681501861
