Date,Close,High,Low,Open,Volume,ret,range_pct
2022-01-03,152.5768585205078,152.63023713485788,150.40660322305627,151.39389722277556,6012200,,1.4573860894525728
2022-01-04,152.167724609375,153.24395587279204,151.7407906784649,152.14993173709146,6748400,-0.26814938720070014,0.9878344426755944
2022-01-05,153.1816864013672,154.29350330210178,152.64800886022113,152.9860055410792,7016100,0.666344847171163,1.074210945536353
2022-01-06,152.6569366455078,153.43075698989966,151.91868847599056,153.11944277880698,7301600,-0.342566900905128,0.9905010195641146
2022-01-07,154.72044372558594,155.0317578997317,152.21219174903814,152.50571305186534,6986000,1.3517283429248295,1.8223617272545944
2022-01-10,153.95550537109375,154.48918290790624,153.12832011821627,154.48918290790624,7698400,-0.49440031069771795,0.8839325273946887
2022-01-11,152.3188934326172,154.22232314927544,151.30491710826618,153.86654722114523,8341100,-1.0630421656774636,1.9153277543339424
2022-01-12,151.02032470703125,151.27827385806341,149.73061966782606,150.86022956941284,8116200,-0.8525329303028295,1.024798611206599
2022-01-13,150.1041717529297,151.5806678593435,149.83734655344358,150.3176454845023,6159400,-0.6066421561990665,1.1614076314743638
2022-01-14,149.28585815429688,150.0063132500782,148.6721331254514,149.98853395357693,5847700,-0.5451637946344068,0.8937083131128333
2022-01-18,148.62770080566406,149.1791576902391,147.65818607467324,148.62770080566406,7815600,-0.440870526364634,1.02334329826886
2022-01-19,148.16519165039062,150.06862193141893,147.93393858573725,148.71664857409482,5926500,-0.3111863755991151,1.4407455097271842
2022-01-20,146.9822235107422,149.30369820407876,146.69759181299094,148.7967030819542,6011300,-0.798411642081065,1.7730759059427028
2022-01-21,146.64422607421875,149.41933082632,146.28845002568627,147.81831146395126,10550300,-0.22995803740765153,2.1350181213743356
2022-01-24,144.95425415039062,146.02159575505578,140.76492172639834,145.87039027182684,14054600,-1.1524299108597758,3.626436533006905
2022-01-25,149.0990753173828,149.79284787214206,143.71787962204746,144.4116521768067,14081200,2.859399464531709,4.074450654481252
2022-01-26,149.7661895751953,150.5133272823747,147.85385634441064,149.01903829603216,9963200,0.4474301778146117,1.7757485487929607
2022-01-27,151.7318878173828,152.9059730951606,150.31765983713822,150.6645462015753,9066700,1.3125113537061361,1.7058466056505777
2022-01-28,152.79922485351562,152.84370024700482,150.5844941207912,151.9720395369522,9783100,0.7034362067763977,1.4785455413006612
2022-01-31,153.24392700195312,153.53744826540031,151.93644293311726,152.54126475696066,8054800,0.29103691387428743,1.0447430861404683
2022-02-01,151.9898681640625,152.96825919106604,150.70014930939544,152.75479896727722,8154700,-0.8183416220302386,1.492277024164749
2022-02-02,153.67088317871094,153.8665640321566,150.89577906256497,150.89577906256497,7382800,1.1060046534377532,1.9332126608114546
2022-02-03,153.6619873046875,154.42691788509822,152.1321261438661,153.2172605386809,6240400,-0.005788913188642386,1.4934023576578646
2022-02-04,152.6569366455078,153.8576909483242,151.31385292723544,152.09657649433532,6392200,-0.6540658993214987,1.6663756505188703
2022-02-07,152.14991760253906,152.75475305612608,151.21598868819635,152.46123176464786,6065700,-0.33212971130562874,1.0113474868579562
2022-02-08,152.5501708984375,153.03048340763746,151.63403484316723,152.11434735236716,6296100,0.2630650756867414,0.9154028187880167
2022-02-09,152.53240966796875,153.1994998982244,152.31893590837217,153.0482944080047,5387500,-0.011642878119466626,0.5772963213319873
2022-02-10,150.69122314453125,152.29224229495523,150.58449305849783,152.28335264511392,10355300,-1.2070788938858157,1.1332771748885886
2022-02-11,149.17025756835938,151.34051278226252,149.01903852483215,150.42437673162752,13125300,-1.0093259212005212,1.5562581276408394
2022-02-14,147.29348754882812,149.4014877506278,145.7013583724624,149.17023475398562,8967600,-1.2581395581965804,2.512079413517043
2022-02-15,148.814453125,149.51712894409116,147.6581609366601,147.76490457858753,6631400,1.0326088420356427,1.2491851217365144
2022-02-16,148.7255401611328,149.28588669164355,147.39135978146538,148.08513249313367,8482400,-0.059747532581733154,1.2738410014349897
2022-02-17,147.81826782226562,148.9389742590546,146.68865816510083,148.72551412175133,6227600,-0.6100312951522802,1.522353175359558
2022-02-18,146.23382568359375,148.02415165246288,145.85785886922363,147.68398534746473,6423200,-1.0718852020218383,1.4813896669341415
2022-02-22,144.24659729003906,146.5740270702675,143.61998578277954,146.42185096558353,6868900,-1.3589389351369774,2.047910552474404
2022-02-23,144.31820678710938,145.5893368443696,143.98700078643836,144.57779809537203,8016900,0.04964380333098983,1.1102799110405532
2022-02-24,141.56109619140625,143.34247572932514,139.39480306569934,143.02916317160043,12883400,-1.9104385074367403,2.7886705951246094
2022-02-25,148.59706115722656,149.48327746333314,142.95753140558338,143.22608304310995,11340400,4.970267365199632,4.391571412603537
2022-02-28,147.31698608398438,147.8630224183605,145.35657686707927,145.79519800900158,9373500,-0.8614403698655737,1.7013961647656235
2022-03-01,146.8067626953125,147.4781350856874,145.3834565059032,145.94740002562588,8737800,-0.3463438957276743,1.4268270352991508
2022-03-02,148.63290405273438,150.0562240397737,146.84257750415884,147.17379720383846,6793300,1.2439081987060119,2.1621366790187095
2022-03-03,150.81707763671875,151.5869184611972,148.88353569121213,149.22368838637345,7333700,1.4695087860285838,1.79249115043646
2022-03-04,151.71221923828125,152.05238554431273,149.35794987025687,150.06512262010298,6302500,0.5935280112764563,1.77601757299716
2022-03-07,154.15603637695312,154.97062437959997,149.81449007782163,150.65594553861035,11663400,1.610824197906946,3.344750178429728
2022-03-08,151.03192138671875,154.97063361685076,150.843931123146,154.00385581655905,11100300,-2.0265927067527056,2.7323379427440986
2022-03-09,151.60482788085938,152.3836154311845,150.28893699017564,152.18667845032672,7248200,0.3793280843416458,1.3816700103079718
2022-03-10,151.87338256835938,152.31200376789795,150.4590231591472,150.88869764450735,6171400,0.17714125021865978,1.2200825302068417
2022-03-11,151.5958709716797,153.48466559080418,151.30046552025973,151.39893400406638,5188000,-0.1827256310399039,1.4408044602695607
2022-03-14,153.69056701660156,155.86580696579117,152.4910516456302,152.78644347205105,7729500,1.3817632574657512,2.19581161399218
2022-03-15,157.67404174804688,158.01420812686294,154.4604092147362,155.15863540138568,10554400,2.591879780764317,2.253889652810129
2022-03-16,156.22386169433594,158.39910138265748,154.4693360795582,157.0653171596322,9603300,-0.9197329107781926,2.51547059487505
2022-03-17,158.26483154296875,158.30063205531832,155.9374021262219,156.8415255575241,7472100,1.3064392510192313,1.4932122986873373
2022-03-18,156.51031494140625,158.44387053802157,155.4540290275232,158.44387053802157,13809500,-1.108595374257959,1.9103159504967395
2022-03-21,157.39654541015625,158.58711409250392,156.04485390990448,156.34920611646083,7574900,0.5662441284344677,1.6151943970400546
2022-03-22,156.65354919433594,157.87991832282927,155.67782465182512,157.3965362381789,8442100,-0.47205369970741984,1.4057094029017825
2022-03-23,156.06271362304688,157.13690648765547,155.83892287379078,156.85940814403443,5254200,-0.3771606671714167,0.8317064234829536
2022-03-24,156.86837768554688,157.13691567306884,155.82103855689869,156.65353363642512,5012300,0.5162437867420433,0.8388415406500347
2022-03-25,158.3722686767578,159.0704948666789,156.85049399767612,157.27122178636014,4809500,0.9586960822821622,1.4017611085270603
2022-03-28,159.18690490722656,159.50020389358556,157.86206693434792,158.130605020053,5604200,0.5143806029144216,1.0290651484130184
2022-03-29,159.10629272460938,160.59225307487108,158.2648372335439,159.89402695656244,5933400,-0.05063995852181424,1.4628056511602747
2022-03-30,160.7623291015625,161.00402694995782,159.05256439542873,159.73289705622977,6277600,1.040836505328846,1.2138804939161087
2022-03-31,158.64974975585938,161.31734558414956,158.4259589845729,160.7623351831679,11490400,-1.31410098218252,1.8224967918487849
2022-04-01,159.5091552734375,159.72398572988592,157.19068553687595,158.48866962798246,6525600,0.5416998885284352,1.5881848215340901
2022-04-04,157.9694366455078,159.5091183023592,157.1190344145865,159.5091183023592,6860600,-0.9652854253351384,1.513003995283078
2022-04-05,158.9899139404297,160.8160405993269,157.80829212771042,157.96942858358327,7446100,0.6459966665652406,1.8917857095912531
2022-04-06,163.1255645751953,163.45678420365923,159.89402530346715,160.58330470101652,10330900,2.6012031406691394,2.1840591997153025
