Date,Close,High,Low,Open,Volume,ret,range_pct
2022-01-03,144.92950439453125,145.7720157769295,142.96663504112357,143.2803407435041,13120900,,1.9356864204606936
2022-01-04,150.4237823486328,151.09599730144583,147.19714510463092,147.26884967408077,20195800,3.7910003053242214,2.591912087264671
2022-01-05,147.6737060546875,151.80330581760188,147.6286203542225,151.31641602396266,17539400,-1.8282190827854206,2.8269660015394877
2022-01-06,149.2425537109375,150.910614071511,147.75480858271672,150.49585876901557,14047500,1.0623744051422523,2.114548036283698
2022-01-07,150.72128295898438,151.05489230050952,148.82779404291946,149.37780644172148,13913300,0.9908227990462981,1.4776269242586766
2022-01-10,150.8656005859375,152.65989331082002,149.25162316325955,152.4435039415942,12922500,0.09575132597059444,2.2591433264596463
2022-01-11,151.0188446044922,151.9475521123548,149.95488001521278,151.7131120078545,11854100,0.10157651443372107,1.3194857253481769
2022-01-12,151.87542724609375,152.9123294773183,150.7393282273638,151.8934642763877,12568000,0.5672024864479042,1.4307786910343558
2022-01-13,151.6860809326172,153.1107037210954,151.3795201923459,151.78526396720187,13623400,-0.1246721190583111,1.14129359668706
2022-01-14,142.3629150390625,145.19412327301816,141.47026782608924,144.95067153162142,40158400,-6.1463555760902455,2.6157482416731535
2022-01-18,136.3939208984375,140.46039684637105,135.73570011499064,140.46039684637105,32324800,-4.192801291675707,3.464008293227784
2022-01-19,134.28407287597656,137.25955042976855,133.94145179980714,136.66446592559012,22380000,-1.5468783422041166,2.4709547148052136
2022-01-20,133.13893127441406,135.79882177428496,132.86843090397187,134.33813903540556,14860800,-0.8527754461395753,2.201002248000046
2022-01-21,130.8126678466797,133.00369225221422,130.08232637816818,132.99468061665783,20705400,-1.7472450811098161,2.2332438609615872
2022-01-24,130.69546508789062,131.17334324183742,125.84454917975961,128.28803728643487,28471400,-0.08959587837963356,4.077260108829541
2022-01-25,132.12005615234375,132.40859355763388,126.94452995027333,129.52327453761563,18915900,1.090008030114209,4.135680657795128
2022-01-26,133.37335205078125,135.76275583917501,131.6061087193144,134.09468175592315,20709100,0.948603819084326,3.1165499374102854
2022-01-27,131.02005004882812,135.5914671882387,129.95609917114837,134.72586860719565,17536800,-1.7644469196943624,4.3011493393493385
2022-01-28,132.1921844482422,132.3274277518888,128.18881756166175,130.01017201401646,14117000,0.8946221581942915,3.13075255356526
2022-01-31,133.98654174804688,134.15784541244645,130.44301448985382,131.31762487824682,13985700,1.3573853153983073,2.7725403418338295
2022-02-01,136.28573608398438,136.5742735335015,133.716016495559,134.0676629132687,14584900,1.7159890134794242,2.0972532563357493
2022-02-02,135.19473266601562,136.09639153266028,133.5086349880213,135.69965943002106,12441100,-0.8005264889176855,1.9140956852451925
2022-02-03,134.07664489746094,136.73653529016707,133.7069615313582,135.24880395000494,12474900,-0.8270202148457972,2.2595835099586776
2022-02-04,137.55706787109375,138.40462936624814,134.13978698465868,134.43733604731216,16654400,2.595845813634856,3.100416756183035
2022-02-07,138.01690673828125,138.5128080272162,136.015223281197,138.19723573045943,12572300,0.3342895238348742,1.809622317326192
2022-02-08,140.61370849609375,142.89490450641233,139.5768062216666,139.75713525745087,20411400,1.8815098955498044,2.359726032570933
2022-02-09,141.1997528076172,141.9481173942704,140.4964601477551,141.19072741568345,9131100,0.41677608662153975,1.0280876684629714
2022-02-10,140.61370849609375,143.3908196734867,139.95550132428062,141.25389239508493,16455600,-0.41504627300723573,2.443089216512285
2022-02-11,138.7833251953125,142.63341224429925,137.92675206010665,140.3071308163931,16830000,-1.3017104237970534,3.391372974792775
2022-02-14,137.49395751953125,138.5669199514389,135.53735954385735,137.7103468296604,17026500,-0.9290508596524139,2.2034134897536877
2022-02-15,139.50466918945312,140.60469417240373,138.7202303317611,139.31531476265337,9500000,1.4624000255692993,1.350824923346084
2022-02-16,139.75711059570312,140.74894075483203,138.62102548833636,138.62102548833636,9076500,0.1809555247983763,1.5225810389364907
2022-02-17,136.53819274902344,138.61201085107288,135.85293697750177,137.9538037443335,11367500,-2.303222950846162,2.020734138939923
2022-02-18,137.17840576171875,138.9817238412777,136.26773508450253,137.169394124282,11733300,0.4688893267190908,1.9784373070273253
2022-02-22,136.93492126464844,138.17020320971827,135.61850708557432,135.78982446353288,11333500,-0.1774947709286323,1.863437098862742
2022-02-23,134.06765747070312,138.22430534628506,133.418461993867,138.0619995979649,11799000,-2.093887934111327,3.584640354791202
2022-02-24,130.33480834960938,130.73154050224386,126.03389116142081,128.88313684104642,25655100,-2.784302486906254,3.6042937418698613
