Date,vol_20d
2022-03-15,2.34125522009341
2022-03-16,2.4518676331991993
2022-03-17,2.445487418267686
2022-03-18,2.317655203008089
2022-03-21,2.2806769370914997
2022-03-22,2.34214882347843
2022-03-23,2.318211034344504
2022-03-24,2.2129811089807307
2022-03-25,2.2013714186004254
2022-03-28,2.2031457342441447
2022-03-29,2.1929053058883254
2022-03-30,2.198835670014934
2022-03-31,2.2533169650594984
2022-04-01,2.219968698799592
2022-04-04,1.9754398397919155
2022-04-05,2.041542126357969
2022-04-06,1.890882642283502
2022-04-07,1.88544409261082
2022-04-08,1.884388491641449
2022-04-11,1.9148682049544614
2022-04-12,1.8362902867500592
2022-04-13,1.7285185748759881
2022-04-14,1.7986082418996667
2022-04-18,1.7556427240879462
2022-04-19,1.8188548165660046
2022-04-20,1.6975380330216745
2022-04-21,1.7550867210626946
2022-04-22,1.7982942916121893
2022-04-25,1.9724200190747572
2022-04-26,2.0714331002226696
2022-04-27,2.1266839413892096
2022-04-28,2.3778692142259206
2022-04-29,2.4505384044693246
2022-05-02,2.520941048699058
2022-05-03,2.4558424444195706
2022-05-04,2.7040669903110164
2022-05-05,2.8118954823623987
2022-05-06,2.8112965788595683
2022-05-09,2.8371032318390443
2022-05-10,2.82238296093024
2022-05-11,2.82167180230974
2022-05-12,2.7714223596934633
2022-05-13,2.8441716282782417
2022-05-16,2.83882144845393
2022-05-17,2.8364718056671454
2022-05-18,2.9311391505911275
2022-05-19,2.903075725508225
2022-05-20,2.7864617759167274
2022-05-23,2.7570517228657327
2022-05-24,2.853170095869636
2022-05-25,2.7557641000998174
2022-05-26,2.642751759394004
2022-05-27,2.7172135339549506
2022-05-31,2.686449340282203
2022-06-01,2.681457193435217
2022-06-02,2.610263678134807
2022-06-03,2.456046316476704
2022-06-06,2.4931003589690954
2022-06-07,2.399788197273191
2022-06-08,2.3757110517187874
2022-06-09,2.4182350137112696
2022-06-10,2.523507165068174
2022-06-13,2.5970035824342896
2022-06-14,2.5908139506170293
2022-06-15,2.64760153567055
2022-06-16,2.6115588387288375
2022-06-17,2.612648610504228
2022-06-21,2.7583050264510542
2022-06-22,2.708751467359847
2022-06-23,2.4429751091442524
2022-06-24,2.663041668547817
2022-06-27,2.696089180504715
2022-06-28,2.660767054190887
2022-06-29,2.6444807436690505
2022-06-30,2.6973833667681455
2022-07-01,2.5716106344297542
2022-07-05,2.701850218769634
2022-07-06,2.675465832705502
2022-07-07,2.8030737293997268
2022-07-08,2.804249917436887
2022-07-11,2.8568583777117045
2022-07-12,2.7764303739437213
2022-07-13,2.642768022646013
2022-07-14,2.655106997567473
2022-07-15,2.5947655531679046
2022-07-18,2.5353939954252676
2022-07-19,2.7005992753149815
2022-07-20,2.5506395174782033
2022-07-21,2.5508355795005815
2022-07-22,2.8551356974201343
2022-07-25,2.5720901855798766
2022-07-26,2.5886527244827686
2022-07-27,3.069644862810923
2022-07-28,3.075274298412964
2022-07-29,3.033154994270712
2022-08-01,3.05265061344236
2022-08-02,2.9156183815718455
2022-08-03,2.9585227737399253
2022-08-04,2.8427041325509137
2022-08-05,2.8437152493879947
2022-08-08,2.7528979349657914
2022-08-09,2.7342779239195134
2022-08-10,2.7221996236056496
2022-08-11,2.7183125897082054
2022-08-12,2.7483101549527134
2022-08-15,2.661822492393993
2022-08-16,2.5134407590377332
2022-08-17,2.5579947357288493
2022-08-18,2.558474071687766
2022-08-19,2.252945181564259
2022-08-22,2.3440541655759826
2022-08-23,2.2669219041521833
2022-08-24,1.4990947150914544
2022-08-25,1.592391816125019
2022-08-26,1.9619172127932807
2022-08-29,1.9527400320717894
2022-08-30,1.9502131343490134
2022-08-31,1.8346657209879966
2022-09-01,1.8768764545662422
2022-09-02,1.9012085186141725
2022-09-06,1.9040442567854323
2022-09-07,2.012334235827753
2022-09-08,1.894115471353505
2022-09-09,1.9779248553831739
2022-09-12,1.876854313925822
2022-09-13,2.2255454110440613
2022-09-14,2.246068455993291
2022-09-15,2.2521555635654025
2022-09-16,2.2383204403438053
2022-09-19,2.211555667333865
2022-09-20,2.1861838201830333
2022-09-21,2.202954037691244
2022-09-22,2.2269015200942306
2022-09-23,2.099222757910825
2022-09-26,1.7983500239285704
2022-09-27,1.7974867843753926
2022-09-28,1.932911740505953
2022-09-29,1.9955974930205342
2022-09-30,1.963090409452471
2022-10-03,2.118970103445727
2022-10-04,2.250420808258067
2022-10-05,2.15944985877789
2022-10-06,2.155660499661527
2022-10-07,2.14093251259952
2022-10-10,2.134555420741343
2022-10-11,1.7341853961036018
2022-10-12,1.7273048285801027
2022-10-13,1.7313846806237225
2022-10-14,1.8088931394008574
2022-10-17,1.9997431234060752
2022-10-18,1.966454551838869
2022-10-19,1.9377783671652344
2022-10-20,1.9294686115180408
2022-10-21,1.9160290105620548
2022-10-24,1.9274037855187731
2022-10-25,1.9496060996204088
2022-10-26,2.8152099553710572
2022-10-27,2.8258081183684003
2022-10-28,2.9813468722436705
2022-10-31,2.9204529386972866
2022-11-01,2.9547629205933323
2022-11-02,3.0452424287235718
2022-11-03,3.129531674905082
2022-11-04,3.267971025253688
2022-11-07,3.326708785413747
2022-11-08,3.332265197632894
2022-11-09,3.340768720361884
2022-11-10,3.779224744325152
2022-11-11,3.787862952754447
2022-11-14,3.7012951192587615
2022-11-15,3.75755181590226
2022-11-16,3.750022301224175
2022-11-17,3.75101553081382
2022-11-18,3.7458810484273837
2022-11-21,3.7482433352209164
2022-11-22,3.7370998290203037
2022-11-23,3.117743304529439
2022-11-25,3.0483722115307796
2022-11-28,2.9128718399222135
2022-11-29,2.88825652449763
2022-11-30,2.9949196606724704
2022-12-01,2.810832868074422
2022-12-02,2.592232655361038
2022-12-05,2.537368390098108
2022-12-06,2.610899969296602
2022-12-07,2.674621243096909
2022-12-08,2.6564479259521385
2022-12-09,2.057549934765793
2022-12-12,1.9654907906423065
2022-12-13,2.0449770832820646
2022-12-14,1.9346792152672752
2022-12-15,2.150426096724599
2022-12-16,2.151131435812365
2022-12-19,2.1783945401852836
2022-12-20,2.1652540658916593
2022-12-21,2.1341975916543414
2022-12-22,2.119021096181924
2022-12-23,2.172801980032033
2022-12-27,2.192405382478292
2022-12-28,2.2047327344951095
2022-12-29,1.7699796602775273
2022-12-30,1.7660730075409483
2023-01-03,1.8050575152302077
