Date,vol_20d
2022-03-15,2.6481834088825313
2022-03-16,2.6349315349334934
2022-03-17,2.701984021915586
2022-03-18,2.703578242732941
2022-03-21,2.860799632182939
2022-03-22,2.8452493243173134
2022-03-23,2.8578294601328302
2022-03-24,2.830082095676646
2022-03-25,2.8117366999630087
2022-03-28,2.9053452544197884
2022-03-29,2.907057384844442
2022-03-30,2.906895630837387
2022-03-31,2.9284118456847334
2022-04-01,2.805492167041826
2022-04-04,2.6733376697539653
2022-04-05,2.66453875417343
2022-04-06,2.351532502244321
2022-04-07,2.275155066624246
2022-04-08,2.3185321956276845
2022-04-11,2.307166798313628
2022-04-12,1.8894450706619172
2022-04-13,1.8864979150831214
2022-04-14,1.8302010159931499
2022-04-18,1.8174309471729686
2022-04-19,1.5980960380664424
2022-04-20,1.5879394563124627
2022-04-21,1.592120537778534
2022-04-22,1.681627552276696
2022-04-25,1.7784190244985159
2022-04-26,1.6659510391492571
2022-04-27,1.7793452014063753
2022-04-28,1.8622285893948474
2022-04-29,1.9083432632972064
2022-05-02,1.9242842318542703
2022-05-03,1.967370951705307
2022-05-04,2.1187311488093505
2022-05-05,2.1622525168598523
2022-05-06,2.1580019747235424
2022-05-09,2.8023148546595955
2022-05-10,2.6928324751886055
2022-05-11,2.6926327551380496
2022-05-12,2.6765764543159314
2022-05-13,2.7450791490538093
2022-05-16,2.7859549810897235
2022-05-17,2.7824715731145675
2022-05-18,2.8153391645450685
2022-05-19,2.799206229756969
2022-05-20,2.737538229482705
2022-05-23,2.6068348032767497
2022-05-24,2.6020150846036145
2022-05-25,2.5731691238653958
2022-05-26,2.5165599263034535
2022-05-27,2.427141234588711
2022-05-31,2.4796043262028684
2022-06-01,2.475394894367189
2022-06-02,2.3480093421495765
2022-06-03,2.31453914769148
2022-06-06,2.3088698840594315
2022-06-07,1.4695732396211705
2022-06-08,1.4664536801670818
2022-06-09,1.616553511194768
2022-06-10,1.7257878389921908
2022-06-13,2.0226049592295468
2022-06-14,1.969678618648747
2022-06-15,1.9847065460901603
2022-06-16,2.1326784493749464
2022-06-17,2.4939518537806205
2022-06-21,2.8797081648003644
2022-06-22,2.9617396582433666
2022-06-23,3.0155120721224065
2022-06-24,3.0142484787993857
2022-06-27,3.0801534635683816
2022-06-28,3.1467159373518037
2022-06-29,3.2263596285799383
2022-06-30,3.222707748819242
2022-07-01,3.2842532437499687
2022-07-05,3.301036390128895
2022-07-06,3.307610495818594
2022-07-07,3.201478194510475
2022-07-08,3.1751562208332107
2022-07-11,3.162664200120266
2022-07-12,3.156440494798489
2022-07-13,3.0373391239503067
2022-07-14,3.047149936085693
2022-07-15,3.08837527423482
2022-07-18,3.0380384937478238
2022-07-19,2.802596320782441
2022-07-20,2.428335411703125
2022-07-21,2.2866257745245977
2022-07-22,2.182375107810605
2022-07-25,2.261870612951486
2022-07-26,2.2013572771565513
2022-07-27,2.1656616897615866
2022-07-28,1.9920277196132214
2022-07-29,2.079199884468373
2022-08-01,2.158526569012688
2022-08-02,2.004993693238797
2022-08-03,2.116140680017011
2022-08-04,2.256614292016135
2022-08-05,2.276727856764595
2022-08-08,2.2727339781446223
2022-08-09,2.2699831836617994
2022-08-10,2.27364656064815
2022-08-11,2.264754400914357
2022-08-12,2.2523821527032233
2022-08-15,2.2931533639284454
2022-08-16,2.2565935848057386
2022-08-17,2.251783270608378
2022-08-18,2.252793627157744
2022-08-19,2.242468912238042
2022-08-22,2.139980009460374
2022-08-23,2.306930639915267
2022-08-24,2.2745477358074084
2022-08-25,2.2682612385448233
2022-08-26,2.063665916052869
2022-08-29,2.019884445201518
2022-08-30,2.2202304305953917
2022-08-31,2.08311733504949
2022-09-01,1.866249617077743
2022-09-02,1.8792440716583725
2022-09-06,1.8956150915865229
2022-09-07,1.8828207490260873
2022-09-08,1.880508097116394
2022-09-09,1.8088263104471975
2022-09-12,1.815459140648322
2022-09-13,1.8509280995623028
2022-09-14,1.8984705918347622
2022-09-15,2.0282488626971102
2022-09-16,1.999553753054248
2022-09-19,1.9985139491672785
2022-09-20,2.0062735061615258
2022-09-21,1.7559695016064953
2022-09-22,1.741684403180204
2022-09-23,2.0418851606258914
2022-09-26,2.0616814091277837
2022-09-27,2.0463486985447683
2022-09-28,2.1367808223797544
2022-09-29,2.13531988753719
2022-09-30,2.1269887853297877
2022-10-03,2.430386380726681
2022-10-04,2.570867630066947
2022-10-05,2.7097483175488053
2022-10-06,2.7734806403279224
2022-10-07,2.7734869420962935
2022-10-10,2.8167093836775705
2022-10-11,2.7682529927441206
2022-10-12,2.717086833144812
2022-10-13,2.7244984992688397
2022-10-14,2.7693982712175247
2022-10-17,2.7785336958085862
2022-10-18,2.764117312692528
2022-10-19,2.7721907614352563
2022-10-20,2.7632132545173023
