,RMSE,MAE,R²
Ridge,0.5145127261377996,0.3919229287148239,-0.9524249555486173
RF,0.3375055950559341,0.24841432999391147,0.1598747042723525
XGB,0.29090357419551444,0.21807006871974186,0.3758625788841038
